"Student_ID","First_Name","Last_Name","Email","Gender","Age","Department","Attendance","Midterm_Score","Final_Score","Assignments_Avg","Quizzes_Avg","Participation_Score","Projects_Score","Total_Score","Grade","Study_Hours_per_Week","Extracurricular_Activities","Internet_Access_at_Home","Parent_Education_Level","Family_Income_Level","Stress_Level","Sleep_Hours_per_Night","Pass_Fail"
"S1016","Maria","Jones","student16@university.com","Female",21,"CS",75.05,90.11,56.81,67.34,67.59,8.48,63.16,73.21,"F",29.7,"No","Yes","None","Low",3,6.1,"Fail"
"S1017","Liam","Davis","student17@university.com","Female",23,"Business",80.22,63.42,76.6,81.46,82.25,7.65,64.18,55.25,"F",6.2,"No","No","PhD","Medium",10,7.6,"Fail"
"S1018","Liam","Jones","student18@university.com","Male",20,"CS",65.14,40.68,42.28,50.34,94.28,9.44,56.29,65.33,"B",17.4,"No","Yes","None","Medium",9,4.8,"Pass"
"S1019","John","Johnson","student19@university.com","Male",20,"Engineering",60.02,61.14,86.27,99.1,77.93,9.72,67.91,66.94,"D",23.5,"Yes","Yes","PhD","Low",10,4.4,"Fail"
"S1021","Ahmed","Jones","student21@university.com","Male",22,"Business",72.01,96.94,64.64,82.97,83,2.87,80.02,66.63,"C",19.8,"No","Yes","None","Low",8,7.5,"Pass"
"S1022","Sara","Davis","student22@university.com","Male",22,"Engineering",69.51,96.46,89.05,85.79,77.56,2.19,65.24,74.72,"C",28,"Yes","Yes","None","Low",10,8.5,"Pass"
"S1023","Liam","Williams","student23@university.com","Female",23,"CS",83.63,50.85,81.72,58.58,65.54,4.48,89.61,88.63,"D",18.5,"No","Yes","Master's","Low",1,8.6,"Fail"
"S1024","Maria","Williams","student24@university.com","Female",20,"CS",84.53,51.11,40.36,55.59,68.89,9.94,76.05,60.24,"A",10.9,"Yes","Yes","High School","Low",4,5.7,"Pass"
"S1025","Emma","Davis","student25@university.com","Male",18,"Business",52.3,49.8,64.18,57.63,65.79,4.13,81.9,90.24,"C",23.5,"No","Yes","High School","High",3,5.6,"Pass"
"S1026","Emma","Johnson","student26@university.com","Male",18,"Engineering",66.94,87.34,42.52,62.34,95.87,1.99,63.91,91.59,"A",14.4,"No","Yes","None","Low",10,6.2,"Pass"
"S1028","Liam","Davis","student28@university.com","Female",21,"Business",54.84,47.63,98.14,83.7,78.97,3.86,81.21,72.2,"D",11.2,"Yes","Yes","Bachelor's","Low",3,4,"Fail"
"S1029","Maria","Jones","student29@university.com","Female",23,"Mathematics",61.8,72.28,79.32,71.04,95.61,6.91,93.12,68.53,"A",7,"No","Yes","Master's","High",3,6.7,"Pass"
"S1030","Ahmed","Brown","student30@university.com","Female",22,"CS",52.58,54.85,53.46,76.89,94.32,7.88,58,85.1,"F",28.3,"No","Yes","High School","Medium",9,4.1,"Fail"
"S1031","Ali","Johnson","student31@university.com","Male",22,"Mathematics",99.81,45.54,61.31,52.37,96.38,8.43,69.03,52.91,"B",19.1,"No","Yes","Bachelor's","Low",3,6.3,"Pass"
"S1033","Sara","Williams","student33@university.com","Male",19,"CS",54.37,56.45,53.44,58.53,85.88,8.36,60.78,66.75,"D",26.5,"No","Yes","Master's","Low",4,6.8,"Fail"
"S1034","Emma","Davis","student34@university.com","Female",21,"Business",51.01,70.67,73.69,68.01,80.46,6.68,69.73,86.48,"F",5.8,"No","Yes","Master's","Low",1,5.6,"Fail"
"S1036","Maria","Davis","student36@university.com","Female",18,"CS",71.96,47.46,86.1,56.84,63.17,6.67,77.85,81.78,"F",12.9,"No","Yes","Bachelor's","Low",10,8.8,"Fail"
"S1038","Ali","Williams","student38@university.com","Male",18,"Engineering",96.17,95.92,60.45,84.63,70.49,3.51,87.34,82.58,"A",22.9,"Yes","Yes","Master's","Medium",2,7.6,"Pass"
"S1039","John","Johnson","student39@university.com","Female",23,"Engineering",79.97,92.61,79.62,83.85,91.7,2.97,50.98,72.85,"A",22,"No","Yes","Bachelor's","Low",9,7.4,"Pass"
"S1040","John","Johnson","student40@university.com","Male",24,"Business",59.36,63.66,72.94,77.61,89.77,3.44,68.5,55.76,"C",29.7,"No","Yes","PhD","Low",7,8.3,"Pass"
"S1041","Omar","Smith","student41@university.com","Male",23,"Business",89.11,81.94,56.71,97.63,60.57,5.51,80.04,62.36,"A",28.1,"No","Yes","Bachelor's","Medium",6,5.7,"Pass"
"S1042","Sara","Davis","student42@university.com","Male",20,"Engineering",97.79,45.27,56.32,75.36,59.19,0.52,79.16,60.99,"A",9.7,"No","Yes","Bachelor's","Low",2,4.3,"Pass"
"S1043","Liam","Williams","student43@university.com","Male",18,"CS",79.01,82.75,72.32,72.47,85.89,7.79,80.38,58.23,"A",26.5,"Yes","Yes","Bachelor's","High",6,8.9,"Pass"
"S1044","Maria","Smith","student44@university.com","Male",22,"Mathematics",84.1,98.37,49.24,62.38,77.52,1.39,60.58,73.42,"D",26.1,"Yes","Yes","Master's","Medium",7,5.8,"Fail"
"S1047","Omar","Jones","student47@university.com","Female",23,"CS",86.73,51.24,45.67,65.74,92.75,5.77,98.7,91.8,"A",10.2,"No","Yes","Master's","High",4,5,"Pass"
"S1048","Emma","Smith","student48@university.com","Male",18,"Engineering",96.39,78.03,60.53,76.2,61.95,2.86,65.6,99.05,"B",10.3,"No","Yes","Master's","Medium",10,6.6,"Pass"
"S1049","Emma","Jones","student49@university.com","Male",24,"CS",81.45,75.43,47.09,60.31,77.78,3.68,82.23,77.03,"B",13.4,"No","Yes","Master's","Low",1,7.8,"Pass"
"S1051","Emma","Jones","student51@university.com","Female",20,"CS",58.58,41.56,63.98,99.98,93.64,8.47,68.43,96.39,"D",19.6,"Yes","Yes","PhD","Medium",7,4.1,"Fail"
"S1053","Maria","Smith","student53@university.com","Female",23,"Engineering",76.6,75.7,97.18,92.12,55.21,5.78,75.06,97.95,"C",13.9,"No","Yes","High School","Medium",5,8.4,"Pass"
"S1056","Liam","Williams","student56@university.com","Female",20,"CS",64.58,56.57,96.13,67.14,73.12,9.53,81.45,94.53,"F",27.7,"No","Yes","Bachelor's","Low",4,6,"Fail"
"S1057","Ali","Johnson","student57@university.com","Male",20,"CS",89.58,82.7,63.53,87.8,70.93,0.64,51.69,87.96,"A",5.4,"Yes","Yes","None","Low",9,7.7,"Pass"
"S1059","Ahmed","Johnson","student59@university.com","Male",24,"CS",73.19,90.75,65.29,81.24,52.55,1.75,98.89,73.6,"F",10.1,"No","No","Master's","Medium",8,5.2,"Fail"
"S1060","John","Davis","student60@university.com","Female",20,"Business",59.04,57.74,56.83,85.24,83.43,9.29,73.65,91.17,"D",23.6,"No","Yes","None","Low",9,9,"Fail"
"S1062","Ahmed","Brown","student62@university.com","Female",22,"Mathematics",99.64,84.62,59.93,60.36,78.78,4.26,98.85,68.32,"A",21.2,"Yes","Yes","PhD","Medium",5,8.9,"Pass"
"S1063","Ali","Davis","student63@university.com","Male",22,"CS",81.13,63.7,74.72,92.44,55.52,5.13,64.51,74.92,"F",19.4,"No","Yes","Bachelor's","Medium",4,8.6,"Fail"
"S1064","Omar","Davis","student64@university.com","Male",20,"Engineering",51.79,45.72,54.4,71.05,67.6,8.3,70.46,81.75,"C",10,"No","Yes","Master's","Low",10,7.6,"Pass"
"S1065","Sara","Williams","student65@university.com","Female",24,"Business",50.86,55.42,87.84,60.82,90.62,9.29,53.87,51.42,"F",14.9,"No","No","Master's","High",10,6.9,"Fail"
"S1066","Maria","Williams","student66@university.com","Male",21,"Engineering",66.02,97.41,86.45,77.13,58.75,7.3,55.54,62.38,"A",17,"No","Yes","Bachelor's","Low",8,4,"Pass"
"S1067","Ali","Williams","student67@university.com","Male",18,"CS",59.79,58.62,57.78,93.17,94.13,7.6,60.83,62.51,"D",19.6,"No","Yes","PhD","Low",8,7.2,"Fail"
"S1068","Maria","Davis","student68@university.com","Male",23,"Engineering",90.65,59.79,80.89,98.35,56.07,3.2,77.42,94.16,"A",10,"No","Yes","PhD","Low",5,7.9,"Pass"
"S1069","Emma","Brown","student69@university.com","Male",24,"Business",92.24,51.38,82.23,87.41,58.46,4.67,77.89,66.57,"A",23.2,"No","Yes","None","High",5,7.7,"Pass"
"S1070","Sara","Jones","student70@university.com","Male",21,"CS",62.93,88.41,73.75,50.28,73.89,8.85,80.31,77.26,"B",12.7,"No","Yes","High School","High",1,4.9,"Pass"
"S1071","Sara","Jones","student71@university.com","Female",23,"CS",66.28,56.54,76.04,56.74,97.26,7.86,79.19,91.58,"C",21.5,"No","Yes","High School","Low",5,6.7,"Pass"
"S1072","Ali","Johnson","student72@university.com","Female",21,"Engineering",61.81,59.82,74.47,53.81,66.48,6.84,74.76,62.98,"B",17.8,"Yes","No","PhD","Low",1,6.8,"Pass"
"S1073","Sara","Jones","student73@university.com","Male",21,"CS",95.42,64.86,44.91,55.06,82.91,0.65,90.1,56.19,"A",19.8,"Yes","Yes","Bachelor's","High",4,7.3,"Pass"
"S1075","Sara","Williams","student75@university.com","Female",18,"CS",82.81,64.68,68.19,66.92,57.48,1.3,63.49,85.23,"F",16.1,"No","Yes","High School","Low",2,7.5,"Fail"
"S1077","Maria","Davis","student77@university.com","Male",20,"CS",81.55,88.87,91.6,94.11,96.51,5.36,71.25,90.99,"D",16.9,"Yes","Yes","Bachelor's","High",2,4.1,"Fail"
"S1078","Omar","Johnson","student78@university.com","Male",23,"Engineering",69.29,89.16,41.39,80.77,59.24,9.43,51.32,89.36,"A",24.8,"No","Yes","Master's","Medium",7,4.7,"Pass"
"S1083","Liam","Davis","student83@university.com","Male",20,"CS",57.47,47.48,99.31,71.92,61.2,4.6,77.66,69.53,"D",29.2,"No","Yes","Master's","Medium",10,4.4,"Fail"
"S1085","John","Johnson","student85@university.com","Female",20,"CS",70.76,89.16,79.82,74.65,55.95,5.65,88.44,56.82,"C",13.7,"No","Yes","None","Low",8,8.7,"Pass"
"S1086","Emma","Johnson","student86@university.com","Male",18,"CS",81.43,73.14,47.1,91.9,82.48,1.07,97.77,79.86,"C",11.9,"No","Yes","Master's","Medium",4,9,"Pass"
"S1087","Ali","Johnson","student87@university.com","Female",20,"Engineering",95.73,92.5,76.11,95.01,87.32,0.57,65.35,68.76,"B",9.6,"Yes","Yes","PhD","Medium",10,4.3,"Pass"
"S1090","Liam","Johnson","student90@university.com","Female",20,"Mathematics",59.69,76.77,90.88,97.26,57.28,6.74,81,70.84,"C",21.1,"No","Yes","PhD","Medium",10,7.1,"Pass"
"S1091","Maria","Williams","student91@university.com","Female",22,"Business",75.11,85.27,99.85,86.75,65.99,6.32,59.45,65.69,"B",13.3,"No","Yes","Bachelor's","Medium",5,6.5,"Pass"
"S1092","Sara","Davis","student92@university.com","Female",24,"Engineering",71.49,53.93,75.31,82.01,67.23,9.69,90.17,85.68,"D",9.7,"No","Yes","PhD","Medium",2,8.6,"Fail"
"S1093","Emma","Davis","student93@university.com","Female",22,"Engineering",86.45,50.03,58.56,87.27,61.6,8.58,59.93,72.76,"A",9.6,"No","Yes","High School","Low",9,6.4,"Pass"
"S1095","Emma","Davis","student95@university.com","Male",23,"Mathematics",79.72,60.69,90.69,53.38,74.34,5,76.21,50.66,"D",26.5,"Yes","Yes","High School","Medium",8,7.9,"Fail"
"S1096","Sara","Jones","student96@university.com","Female",19,"Engineering",94.19,48.1,50.28,57.66,91.72,6.74,55.76,50.47,"A",11.8,"No","Yes","High School","Medium",2,6.6,"Pass"
"S1098","Emma","Smith","student98@university.com","Female",22,"CS",97.94,61.52,59.15,71.03,56.47,10,58.37,99.11,"B",26.7,"No","Yes","PhD","Low",3,6.3,"Pass"
"S1099","Ahmed","Smith","student99@university.com","Male",22,"CS",88.66,97.91,57,57.87,91.16,5.19,90.87,63.62,"B",6.4,"No","Yes","Master's","Medium",8,7.4,"Pass"
"S1100","Omar","Smith","student100@university.com","Male",19,"Mathematics",95.3,81.88,91.65,92.73,91.23,9.1,73.52,84.14,"A",7.1,"No","No","Master's","Medium",1,5.5,"Pass"
"S1101","Sara","Davis","student101@university.com","Female",23,"CS",61.73,71.85,65.3,78.9,69.45,9.67,78.31,58.61,"F",25.5,"No","Yes","Master's","Low",9,8.6,"Fail"
"S1102","Sara","Jones","student102@university.com","Male",24,"Engineering",59.88,98.13,60.34,68.41,55.5,5.82,59.33,65.58,"F",25.4,"No","Yes","High School","Low",6,8.2,"Fail"
"S1104","Sara","Jones","student104@university.com","Female",21,"Business",85.34,70.72,53.16,79.55,82.78,5.73,81.56,94.04,"A",6,"No","Yes","PhD","Medium",3,4.3,"Pass"
"S1106","Emma","Jones","student106@university.com","Female",24,"Business",59.35,64.26,71.22,87.16,74.18,7.89,69.3,61.52,"D",16.3,"Yes","Yes","Bachelor's","Medium",8,6.1,"Fail"
"S1107","Maria","Williams","student107@university.com","Female",22,"CS",81.85,53.83,64.56,90.14,69.76,0.48,73.97,86.53,"F",15.5,"No","Yes","High School","Low",3,7.6,"Fail"
"S1108","Emma","Smith","student108@university.com","Female",22,"Business",87.32,53.96,57.7,77.2,62.36,4.66,61.48,59.97,"A",9.6,"No","Yes","None","Low",10,5.3,"Pass"
"S1109","Omar","Smith","student109@university.com","Female",19,"Business",96.38,79.74,43.24,57.48,99.18,9.23,89.77,62.01,"B",27.7,"Yes","Yes","None","Medium",8,7,"Pass"
"S1110","Liam","Davis","student110@university.com","Male",24,"CS",82.34,70.06,71.25,89.34,62.66,9.91,96.97,55.18,"F",18.8,"Yes","Yes","None","High",6,6.8,"Fail"
"S1111","Omar","Smith","student111@university.com","Female",21,"Engineering",98.51,79.54,89,65.39,51.19,1.91,71.59,98.14,"B",25.2,"No","Yes","PhD","Low",7,6.6,"Pass"
"S1112","Liam","Davis","student112@university.com","Male",23,"CS",67.23,81.16,91.08,61.13,75.62,8.71,95.88,62.38,"B",7.6,"No","Yes","Bachelor's","Medium",2,4.6,"Pass"
"S1113","Emma","Johnson","student113@university.com","Female",20,"CS",67.5,41.34,54.13,73.53,68.85,1.46,94.13,99.78,"C",29.3,"Yes","Yes","High School","Low",1,6.4,"Pass"
"S1116","Ali","Davis","student116@university.com","Male",20,"CS",50.07,51.46,64.52,95.28,68.21,9.6,73.87,94.78,"D",5.5,"Yes","Yes","Master's","Medium",7,6.3,"Fail"
"S1118","Liam","Brown","student118@university.com","Male",24,"CS",87.59,73.13,94.18,54.18,51.15,3.99,67.06,67.57,"B",15.5,"No","Yes","High School","High",2,6.8,"Pass"
"S1119","Ahmed","Johnson","student119@university.com","Female",20,"Business",87.35,75.15,52.49,84.93,79.45,2.81,65.65,75.67,"A",5.1,"No","Yes","None","Medium",6,5,"Pass"
"S1121","Ahmed","Johnson","student121@university.com","Male",20,"Mathematics",76.11,78.39,50.83,65.83,60.69,6.81,84.52,81.74,"C",7.5,"Yes","Yes","None","Medium",9,7.7,"Pass"
"S1123","Omar","Davis","student123@university.com","Male",19,"CS",50.8,99.88,94.47,66.61,65.66,7.55,85.53,54.01,"D",18.7,"Yes","Yes","PhD","High",3,8.5,"Fail"
"S1124","Ahmed","Brown","student124@university.com","Male",21,"CS",78.12,90.31,95.87,64.02,58.16,8.35,96.31,95.53,"D",9.8,"Yes","Yes","PhD","Medium",5,8.5,"Fail"
"S1125","Liam","Jones","student125@university.com","Female",24,"Business",56.19,73.45,43.11,86.82,78.87,7.81,88.18,73.03,"C",11.6,"No","Yes","Bachelor's","High",5,5.5,"Pass"
"S1127","Ali","Davis","student127@university.com","Male",20,"CS",87.77,80.89,73.85,97.75,63.55,7.58,54.37,65.37,"A",13,"No","Yes","Bachelor's","High",1,5.7,"Pass"
"S1128","Maria","Brown","student128@university.com","Male",18,"CS",50.48,96.26,63.43,86.22,81.07,2.1,74.52,93.31,"D",22.1,"No","Yes","PhD","Low",3,4.3,"Fail"
"S1129","Maria","Jones","student129@university.com","Male",20,"Engineering",97.95,52.71,77.9,84.74,86.99,7.92,97.82,69.16,"A",24.5,"Yes","No","Master's","Low",6,7.9,"Pass"
"S1130","Maria","Williams","student130@university.com","Male",22,"Business",75.76,55.36,96.84,84.71,86.98,3.22,90.95,78.1,"A",12.7,"Yes","Yes","High School","Low",6,4.7,"Pass"
"S1131","Ahmed","Johnson","student131@university.com","Female",21,"CS",99.15,48.94,50.22,94.15,74.11,9.96,78.14,97.38,"A",14.2,"No","Yes","PhD","High",4,8.3,"Pass"
"S1134","Omar","Johnson","student134@university.com","Male",19,"Business",67.47,43.76,61.83,87.06,59.65,2.39,90.65,62.43,"A",20.2,"No","Yes","None","Low",3,6.5,"Pass"
"S1135","Ahmed","Johnson","student135@university.com","Female",24,"Engineering",92.17,92.5,60.26,61.44,57.61,6.59,96.75,83.41,"A",27.2,"No","Yes","Master's","Low",4,7,"Pass"
"S1140","Liam","Smith","student140@university.com","Female",20,"CS",50.84,67.33,59.84,65.62,66.24,0.46,81.41,53.3,"D",16.6,"No","Yes","Bachelor's","Medium",5,8.2,"Fail"
"S1143","Liam","Johnson","student143@university.com","Female",22,"Mathematics",62.72,86.41,53.97,83.34,79.55,3.7,93.99,92.26,"B",24.5,"Yes","Yes","PhD","Medium",9,6.8,"Pass"
"S1144","Liam","Jones","student144@university.com","Female",18,"CS",71.6,80.47,58.88,55.68,55.33,2.73,78.35,96.25,"D",28.7,"No","Yes","Bachelor's","High",9,7.2,"Fail"
"S1145","Omar","Johnson","student145@university.com","Male",22,"Mathematics",52.84,57.67,89.51,63.16,58.94,0.41,75.13,83.47,"F",7,"No","Yes","None","Low",5,5.9,"Fail"
"S1146","John","Johnson","student146@university.com","Female",24,"Mathematics",79.4,71.72,44.76,75.77,51.79,3.01,86.67,55.17,"F",27.5,"No","Yes","Bachelor's","Low",7,6.7,"Fail"
"S1147","John","Davis","student147@university.com","Male",23,"CS",87.81,90.41,59.55,92.57,71.22,7.78,83.05,67.08,"A",16.6,"No","Yes","Bachelor's","Medium",3,8.7,"Pass"
"S1149","Liam","Smith","student149@university.com","Female",22,"Engineering",71.01,44.7,51.22,55.22,93.69,2.91,86.27,56.82,"C",26,"No","Yes","PhD","Low",1,4.5,"Pass"
"S1150","John","Johnson","student150@university.com","Male",18,"Mathematics",54.41,73.37,50.79,53.72,81.65,3.05,70.38,77.82,"C",19.7,"No","Yes","High School","Low",3,7.6,"Pass"
"S1151","John","Smith","student151@university.com","Male",21,"Engineering",60.1,78.35,65.49,75.35,93.05,5.54,97.04,67.65,"A",13.8,"No","Yes","PhD","Medium",3,6.5,"Pass"
"S1152","Ali","Davis","student152@university.com","Male",23,"Business",57.73,52.68,85.27,94.24,79.71,3.02,98.54,99.96,"C",23.3,"No","Yes","PhD","Low",5,6.1,"Pass"
"S1153","John","Jones","student153@university.com","Female",22,"Engineering",74.08,84.71,90.41,52.12,68.44,6.31,72.44,64.27,"D",8.5,"Yes","Yes","None","Medium",8,7.9,"Fail"
"S1154","Ahmed","Brown","student154@university.com","Male",20,"CS",76.46,78.78,98.75,60.62,58.68,9.89,98.44,52.39,"A",21.7,"No","Yes","None","Low",6,6.8,"Pass"
"S1156","Omar","Jones","student156@university.com","Female",24,"Engineering",53.66,50.14,53,91.29,59.65,1.69,84.13,66.34,"D",13.4,"No","Yes","High School","High",7,8.6,"Fail"
"S1157","Sara","Brown","student157@university.com","Female",20,"Business",79.99,85.08,85.4,90.37,70.87,1.79,53.75,82.88,"B",29.3,"No","Yes","Bachelor's","Low",1,4.3,"Pass"
"S1158","Ali","Williams","student158@university.com","Male",21,"Engineering",76.32,45.02,72.44,89.25,91.29,4.47,57.25,55.23,"F",21,"Yes","Yes","High School","High",10,5.3,"Fail"
"S1159","Maria","Smith","student159@university.com","Male",24,"Engineering",75.81,73.92,59.66,56.49,56.46,0.41,93.23,76.15,"D",7.4,"Yes","Yes","Bachelor's","Low",8,8.5,"Fail"
"S1160","Omar","Smith","student160@university.com","Male",24,"CS",93.66,73.11,52.34,69.86,56.45,4.78,94.69,68.76,"A",29.2,"No","Yes","High School","Medium",1,8,"Pass"
"S1162","Liam","Williams","student162@university.com","Female",20,"CS",52.04,90.67,65.76,99.44,77.6,0.12,66.99,92.67,"D",22.4,"Yes","Yes","PhD","Low",3,4.8,"Fail"
"S1165","Ali","Johnson","student165@university.com","Male",18,"Engineering",50.88,53.03,46.46,97.56,65.1,1.54,60.55,88.34,"D",27.5,"No","Yes","Bachelor's","Medium",2,8.3,"Fail"
"S1166","Liam","Brown","student166@university.com","Male",21,"CS",62.57,84.61,99.13,72.5,75.31,0.78,64.74,76.45,"C",12.7,"No","Yes","Master's","Low",1,8.6,"Pass"
"S1167","Omar","Brown","student167@university.com","Female",18,"CS",65.47,42.58,90.51,56.84,63.88,6.31,89.27,54.87,"A",15.6,"Yes","Yes","None","Medium",10,4.3,"Pass"
"S1168","Omar","Brown","student168@university.com","Male",19,"Engineering",80.84,89.89,65.39,83.45,99,0.1,96.76,83.35,"A",11.4,"Yes","Yes","Master's","Low",6,8.8,"Pass"
"S1171","Ahmed","Jones","student171@university.com","Female",23,"CS",74.12,49.15,52.8,90.17,85.03,5.24,82.25,85.38,"C",23.4,"No","Yes","PhD","High",9,7.2,"Pass"
"S1175","Emma","Brown","student175@university.com","Male",23,"Engineering",97.55,83.38,72.57,99.13,84.05,1.76,57.1,96.97,"A",29.6,"Yes","Yes","Master's","Low",10,8.7,"Pass"
"S1176","John","Williams","student176@university.com","Male",18,"CS",79.1,71.87,68.38,74.66,73,8.55,75.11,77.26,"F",22.7,"Yes","Yes","None","Medium",8,6.8,"Fail"
"S1178","Ali","Smith","student178@university.com","Female",24,"Business",71.52,45.66,69.9,97.77,50.9,1.98,59.58,63.59,"B",9.7,"No","No","Master's","Medium",5,7.4,"Pass"
"S1180","Ahmed","Johnson","student180@university.com","Male",18,"Business",93.97,57.48,72.48,91.81,57.51,7.09,56.04,63.69,"A",17.6,"Yes","Yes","PhD","Medium",3,8.7,"Pass"
"S1181","Omar","Jones","student181@university.com","Female",24,"Engineering",94.8,98.36,93.28,77.42,95.31,9.98,65.34,94.37,"A",14,"No","No","None","Medium",6,6.4,"Pass"
"S1182","Emma","Smith","student182@university.com","Female",20,"CS",61.93,91.43,77.97,55.09,58.79,3.92,60.9,96.39,"A",8.9,"Yes","No","PhD","High",7,8.8,"Pass"
"S1183","John","Brown","student183@university.com","Male",24,"Engineering",59.96,84,83.36,80.78,69.71,8.65,75.25,85.98,"C",14.2,"No","Yes","Bachelor's","Low",3,4.1,"Pass"
"S1186","Sara","Johnson","student186@university.com","Female",24,"CS",66.12,94.05,74.7,92.09,73.89,0.92,63.76,95.98,"A",19.3,"No","Yes","None","High",9,7.2,"Pass"
"S1187","Omar","Jones","student187@university.com","Male",18,"Engineering",82.6,59.51,41.61,61.77,59.06,1.75,87.3,87.13,"F",19.3,"No","No","None","High",6,6.5,"Fail"
"S1188","Omar","Jones","student188@university.com","Male",19,"CS",85.41,83.97,99.98,69.69,63.54,8.5,84.98,66.34,"A",11.1,"No","No","Master's","Low",2,6.8,"Pass"
"S1189","Emma","Williams","student189@university.com","Female",20,"CS",88.93,84.19,42.02,68.64,70.95,8.19,54.75,51.75,"A",7.8,"Yes","No","High School","Low",5,5.8,"Pass"
"S1194","Omar","Williams","student194@university.com","Female",24,"Business",86.43,47.33,65.56,52.45,51.49,0.26,58.9,60.74,"A",10.5,"No","Yes","Master's","Low",1,7.8,"Pass"
"S1195","Sara","Smith","student195@university.com","Male",18,"Engineering",67.25,72.57,88.07,54.32,72,0.54,98.1,71.31,"C",20.8,"No","Yes","PhD","Low",8,4.6,"Pass"
"S1196","Sara","Brown","student196@university.com","Male",23,"Business",83.5,87.43,56.37,51.08,99.02,5.94,50.39,80.69,"C",11,"No","Yes","None","Medium",5,4.2,"Pass"
"S1197","Maria","Smith","student197@university.com","Female",24,"CS",62.89,52.08,55.39,84.4,82.99,2.79,84.62,83.38,"D",19.4,"No","Yes","Master's","High",7,4.1,"Fail"
"S1198","Ahmed","Davis","student198@university.com","Female",23,"Mathematics",62.25,69.1,55.07,76.28,67.77,1.44,75.37,66.73,"D",17,"No","Yes","High School","High",10,6.6,"Fail"
"S1199","John","Smith","student199@university.com","Male",20,"Engineering",85.74,76.45,76.97,93.8,57.3,9.41,95.13,84.63,"A",14.5,"Yes","Yes","Bachelor's","Medium",4,6.5,"Pass"
"S1200","Omar","Jones","student200@university.com","Female",22,"Business",76.07,49.61,88.9,74.93,98.19,1.21,69.03,79.54,"C",21,"Yes","Yes","PhD","High",2,4.6,"Pass"
"S1201","Liam","Brown","student201@university.com","Female",23,"CS",84.16,86.71,67.14,61.09,50.7,6.74,75.93,78.34,"C",26.4,"No","Yes","PhD","Low",8,5.7,"Pass"
"S1202","Omar","Williams","student202@university.com","Female",22,"CS",63.47,57.96,62.75,90.26,84.07,8.94,87.12,83.15,"B",13.4,"No","Yes","Master's","Low",4,6.7,"Pass"
"S1203","Ali","Williams","student203@university.com","Male",24,"Engineering",79.94,52.66,98.41,64.72,94.01,1.64,52.38,80.17,"A",17.2,"No","Yes","Bachelor's","Low",8,7.4,"Pass"
